Point2D
10
[(986.98505;240.88824), (968.9677;747.9654), (44.127525;594.49384), (447.9174;843.1337), (540.3456;607.0413), (411.61133;793.2051), (921.5276;75.67829), null, null, null]
[(369.95502;180.87202), (188.87764;49.112976), (851.703;656.3549), (308.65585;419.20172), (604.73566;891.2115), (60.47374;527.21326), (546.093;468.68707), null, null, null]
[(205.87558;611.72437), (733.19714;476.30643), (250.34117;864.13434), (849.2283;773.9111), (475.22067;723.9071), (360.72958;101.05991), (784.0601;480.77112), null, null, null]
[(489.65042;28.72616), (635.51294;594.9342), (721.2015;989.141), (487.34708;288.56207), (874.0989;657.3678), (720.46893;234.22401), (884.6863;626.77625), null, null, null]
[(967.1902;0.11152029), (529.64874;554.20557), (712.56946;408.22577), (280.10266;941.9256), (463.74655;583.5313), (16.07132;567.0281), (534.4828;208.47076), null, null, null]
[(658.64874;344.46716), (296.6314;171.21935), (32.505573;668.25653), (37.973583;587.11865), (388.0095;904.5856), (637.7357;716.63275), (550.7412;15.731454), null, null, null]
[(393.76642;98.57434), (628.70605;783.2909), (693.30804;380.70798), (199.86856;288.9049), (266.2568;796.3963), (716.3043;194.42142), (716.9122;147.48764), null, null, null]
[(429.40472;731.4926), null, null, null, null, null, null, null, null, null]
[(378.8222;747.4704), (857.2156;594.66565), (170.18271;64.70346), (83.29826;978.80597), (859.78296;705.85767), (372.7464;313.93515), (387.02374;732.3405), null, null, null]
[(918.6078;896.5726), (452.6047;600.36523), (562.53925;661.1307), (150.63977;98.28192), (608.86163;92.53657), (54.4281;837.46326), (696.3448;88.59694), null, null, null]
[(401.62457;234.01564), (69.55636;832.49005), (894.039;927.5695), (535.639;891.2484), (968.3484;221.0002), (178.8988;232.06902), (445.23895;511.69586), null, null, null]
[(383.55832;277.4095), (353.0407;660.7359), (356.3813;685.4628), (398.28442;508.41428), (429.44867;401.1318), (8.696914;22.26299), (456.44284;0.098347664), null, null, null]
[(110.40997;39.320766), (697.88495;671.4189), (331.5384;485.4373), (377.6192;977.7648), (334.4691;170.68845), (660.2842;464.58878), (934.3369;302.58423), null, null, null]
[(145.88719;108.28525), (428.94406;958.9816), (641.8948;524.8285), (25.84976;77.27212), (253.65985;645.35626), null, null, null, null, null]
[(125.11444;674.41833), (905.5074;268.15933), (130.87814;948.3897), (580.645;406.01242), (224.89316;476.43787), null, null, null, null, null]
[(675.3198;426.21326), (581.5025;335.48236), (436.90402;516.3079), (924.56055;227.26637), (755.08795;286.22604), null, null, null, null, null]
[(847.98755;447.8466), (977.1454;145.2033), (726.22955;871.2594), (83.97448;107.82331), (249.15665;830.6099), null, null, null, null, null]
[(860.05756;919.6381), (56.11873;973.9422), (514.4505;362.1314), (527.9769;101.480545), (745.53174;19.358873), (481.87894;928.7593), (424.22778;194.21924), null, null, null]
[(613.95233;914.7756), (521.3379;713.9433), (545.19525;196.85536), (83.00346;569.2632), (980.0308;708.14636), (246.81783;887.3389), (803.7526;140.64401), (263.2727;455.9918), null, null]
